Source,area,short names,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
FAOSTAT_3,IRN,total_fertilizers,,,,,,,,,,,,1408887.35,1513354.04,1611800.62,1711115.31,2117363.11,1648513.6,1680402.53,1407057.95,1388930.03,734923.24,786635.66,834352.74,1075279.67,697295.7,698154.45,698154.45
FAOSTAT_3,IRQ,total_fertilizers,,,,,,,,,,,,0,0,109632,216387,222020,185960,227760,218217,137160,168120,213403.18,231038.74,97910.34,77346.05,143905.87,251613.61
FAOSTAT_3,ISL,total_fertilizers,,,,,,,,,,,,18802,15852,17792,17229,21649,24271,24985,15357,18290,19450,21390,20459,24450,17878,21965,17909
FAOSTAT_3,ISR,total_fertilizers,,,,,,,,,,,,87900,94500,99800,91000,92400,105500,84100,61000,60600,74400,82200,84600,79400,72400,82800,92300
FAOSTAT_3,ITA,total_fertilizers,,,,,,,,,,,,1418087,1414334,1447535,1336239,1305785,1364139,1075785,838499,864377,902647,872000,882755,851523,885372,880660,877960
FAOSTAT_3,JAM,total_fertilizers,,,,,,,,,,,,12781,15146,16485,14828,8130,4527,4517,6983,7515,8541,10485,9977.51,13834.29,4569.81,6869.56,7954.3
FAOSTAT_3,JOR,total_fertilizers,,,,,,,,,,,,310139,162157,99595,145043,131760,141392,50448,79288,33339,215565,289012.16,30261,21985,40322,26653,24883
FAOSTAT_3,JPN,total_fertilizers,,,,,,,,,,,,1473933,1473746,1548781,1517146,1445470,1516154,1198609,1025957,1112611,1122533,1049400,1036800,1099100,1014300,1030000,1030000
FAOSTAT_3,KAZ,total_fertilizers,,,,,,,,,,,,23700,33740,42100,40800,41400,58900,30900,56400,58688,87412,129657,84909,116487,127150,127150,127150
FAOSTAT_3,KEN,total_fertilizers,,,,,,,,,,,,139051,170316,145546,180695,176052,192895,176424,175214,166909,252776,202916.98,224843.96,248503.27,165583.61,168369.59,131271.22
FAOSTAT_3,KGZ,total_fertilizers,,,,,,,,,,,,9483,33211,28924,31623,28494,28742,24277,28159,28918,24457,31042,35075,40980,34190,40457,25596.9
FAOSTAT_3,KHM,total_fertilizers,,,,,,,,,,,,21555,14274,19854,29989,29610,33264,28273,37354,46048,61880,91536.34,71012.14,105545.86,117124.83,84750.94,84750.94
FAOSTAT_3,KNA,total_fertilizers,,,,,,,,,,,,55,55,55,55,90,50,82,51,51,52,52,0.03,115.24,26.38,37.55,26.17
FAOSTAT_3,KOR,total_fertilizers,,,,,,,,,,,,788064.8,803259.07,868523.64,1057568.07,768536.55,816498.14,694457.73,520105.65,511541.81,506021.47,740653.84,545679.8,540358.46,523654.33,531684.4,494117.09
FAOSTAT_3,KWT,total_fertilizers,,,,,,,,,,,,0,0,0,374440,7588.41,15833.95,33659.71,21955.41,1283.96,4084.52,3186.08,2735.87,4082.93,104755.73,6005.79,7269.5
FAOSTAT_3,LBN,total_fertilizers,,,,,,,,,,,,34242.03,31871.56,34697.01,21985.32,15438.04,23217.73,20099.33,20564.6,25513.04,42548.58,31741.26,27595.03,29128.9,34226.86,89447,70808.49
FAOSTAT_3,LBY,total_fertilizers,,,,,,,,,,,,65334.9,35477.99,50447.4,52465.53,55061.22,53276.21,51485.73,58605.18,66161.9,31938.45,42827.22,62277.86,39417.33,31378,26802.23,34608.83
FAOSTAT_3,LCA,total_fertilizers,,,,,,,,,,,,0,0,0,0,0,0,18,264,358,252,785.53,336.65,721.2,702.97,512.68,393.82
FAOSTAT_3,LKA,total_fertilizers,,,,,,,,,,,,285071,246225,258309,280821,305881,288525,374054,309514,274857,334509,267611.82,226181.39,339708.97,399291.2,165404.32,154983.06
FAOSTAT_3,LTU,total_fertilizers,,,,,,,,,,,,180544,224761,280866,186006,191953,165324,161357,90888,220260,169682,242000,251121,262640,266236,282534,296851
FAOSTAT_3,LUX,total_fertilizers,,,,,,,,,,,,16583,16583,20684,18789,17618,16861,15532,15108,15995,16810,16173,15462,15074,15240,16214,15647.15
FAOSTAT_3,LVA,total_fertilizers,,,,,,,,,,,,49229,47366,64706,74300,75500,80457,78328,75784,91081,96383,107864,121593,122259,128833,134200,133495
FAOSTAT_3,MAR,total_fertilizers,,,,,,,,,,,,550787,500843,401942,518080,485200,474460,433412,330149,441892,461361,458620,516874,542343,578088.5,529379.76,566231.1
FAOSTAT_3,MDA,total_fertilizers,,,,,,,,,,,,15000,13900,15300,16500,15398,20083,22677,17015,20051,23629,34700,44800,44813,75871,94208,98296
FAOSTAT_3,MDG,total_fertilizers,,,,,,,,,,,,6204.84,6960.88,6677.39,16702.12,7579.35,9632.87,12820.52,7815.67,8931.86,12611.02,21115.02,4138.31,7886.97,6148.69,8629.67,38963.55
FAOSTAT_3,MDV,total_fertilizers,,,,,,,,,,,,18,24,31,89,353,262,67,394,368,143,525.72,754.74,235.51,249.91,367.32,441.66
FAOSTAT_3,MEX,total_fertilizers,,,,,,,,,,,,1512997,1578903,1699546,1844796,1612814,1764885,1244617,1240381,1764380,1674532,2208804.99,2200628.3,1547838.68,1602209.17,2190931.29,2402953.15
FAOSTAT_3,MHL,total_fertilizers,,,,,,,,,,,,2.04,1.25,0.46,1.44,0.72,0,440.28,0,0.89,0,0,0,0,0,0,0
FAOSTAT_3,MKD,total_fertilizers,,,,,,,,,,,,15399,15451,24655,27786,25228,28930,23811,23813,27784,26338,23844.1,28747.34,29748.78,27546.4,32994.99,28767.68
FAOSTAT_3,MLI,total_fertilizers,,,,,,,,,,,,0,0,260312,87925,99355,180340,129517,38089,122718,150992,141922.15,165860,200051.88,241821.3,283590.73,223007.57
FAOSTAT_3,MLT,total_fertilizers,,,,,,,,,,,,929,876,1170,866,1184,886,592,434,579,834,2115.15,3551.95,4006.48,4297.24,2399.06,885.35
FAOSTAT_3,MMR,total_fertilizers,,,,,,,,,,,,42309,101554,197364,65596,93192,166830,81378,67316,71755,161738,168096.62,210391.96,263270.98,259457.79,194133.8,428676.82
FAOSTAT_3,MNE,total_fertilizers,,,,,,,,,,,,0,0,0,0,3254,2720,2559,1960,2469,2171,2148.43,2534.24,2417.48,2283.47,2566.87,2149.52
FAOSTAT_3,MNG,total_fertilizers,,,,,,,,,,,,4448,4017,5873,3657,6514,6018,6941,7570,11080,13965,16940.82,25379.57,19259.83,23195,25822.65,36736.79
FAOSTAT_3,MOZ,total_fertilizers,,,,,,,,,,,,26600,3313,10395,7137,22751,13836,61653,22184,46327,41561,31750.3,33397.18,42567.58,23634.94,25807.26,29033.43
FAOSTAT_3,MUS,total_fertilizers,,,,,,,,,,,,28335,26352,26769,29933,21403,22860,18302,18237,13056,18972,20888.25,18611.12,23496.79,13787.71,20494.35,19321.01
FAOSTAT_3,MWI,total_fertilizers,,,,,,,,,,,,84684,93232,103218,97574,121521,125156,120303,107960,130893,106282,92390.13,103719.58,143193.76,115338.95,96157.99,112798.91
FAOSTAT_3,MYS,total_fertilizers,,,,,,,,,,,,1085329,1189238,1494329,1395565,1540267,1718065,1866573,1417615,1864533,1482271,1573818.38,1417120.8,1705577.11,1468491.01,1520029.38,1520029.38
FAOSTAT_3,NAM,total_fertilizers,,,,,,,,,,,,3185,1150,2612,1556,2314,1972,229,1272,3547,5284,12027.17,8688.97,4910.93,11615.89,20885.37,20029.49
FAOSTAT_3,NER,total_fertilizers,,,,,,,,,,,,8541,4126,3385,5475,7459,5297,2289,5267,7490,7576,14680.39,10704.13,16787.29,6782.7,6755.12,6755.12
FAOSTAT_3,NGA,total_fertilizers,,,,,,,,,,,,153982,214935,159079,259104,369431,155587,211566,168353,403051,223084,303404.4,306617.88,323063.69,287543.32,387843.9,644814.88
FAOSTAT_3,NIC,total_fertilizers,,,,,,,,,,,,56817,65386,64302,56227,60687,56646,46084,57241,53181,77514,76914,51767,76617,87071.44,89003.12,128467.1
FAOSTAT_3,NLD,total_fertilizers,,,,,,,,,,,,392802,397092,402871,375303,377796,320207,285538,251199,299955,248292,293000,240003,259006.66,278010.34,297014,297014
FAOSTAT_3,NOR,total_fertilizers,,,,,,,,,,,,180499,185965,187035,188662,185687,187928,180477,149548,140355,157186,152086,154140,157218,164893,164163,159363
FAOSTAT_3,NPL,total_fertilizers,,,,,,,,,,,,38950,11711,18458,8137,12751,3604,3030,40046,54689,77446,56540,115097,142400.7,156655.06,147565.23,138475.4
FAOSTAT_3,NRU,total_fertilizers,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAOSTAT_3,NZL,total_fertilizers,,,,,,,,,,,,874122,945819,739472,1155442,995496,993286,782154,599027,634047,838667,861618,816802,879662,1013026,1013026,1013026
FAOSTAT_3,OMN,total_fertilizers,,,,,,,,,,,,9522.22,6324.88,9965.43,10444.67,14126.99,10486.22,14156.69,8830.67,10225.36,7573.28,13554.89,14549.94,19579.31,20909.33,26269.37,23794.42
FAOSTAT_3,PAK,total_fertilizers,,,,,,,,,,,,3043040,3149260,3357710,3725496,3812141,3574021,3510296,4246113,4064776,3868533,3549038,4134858,4104960,4179136,4480006,4758868
FAOSTAT_3,PAN,total_fertilizers,,,,,,,,,,,,22141,28034,23104,18862,20734,18408,19337,25675,36272,21149,43353.24,50079.13,33330.12,42102.76,25820.4,33156.57
